Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
7:00p,Sacramento Kings,100,New Jersey Nets,106,Box Score,,"13,482",2:35,Prudential Center,
7:30p,New York Knicks,101,Boston Celtics,105,Box Score,,"18,624",2:21,TD Garden,
8:00p,Oklahoma City Thunder,105,Detroit Pistons,104,Box Score,,"22,076",2:29,The Palace of Auburn Hills,
8:00p,Denver Nuggets,95,New Orleans Hornets,101,Box Score,,"12,474",2:20,New Orleans Arena,
8:00p,Orlando Magic,70,Miami Heat,96,Box Score,,"19,600",2:34,AmericanAirlines Arena,
8:00p,Milwaukee Bucks,85,Minnesota Timberwolves,96,Box Score,,"17,197",2:15,Target Center,
8:30p,Memphis Grizzlies,91,Dallas Mavericks,90,Box Score,,"20,060",2:28,American Airlines Center,
10:30p,Los Angeles Clippers,91,Golden State Warriors,109,Box Score,,"17,408",2:18,Oracle Arena,
10:30p,Los Angeles Lakers,114,Phoenix Suns,106,Box Score,,"18,422",2:17,US Airways Center,
7:00p,Washington Wizards,95,Atlanta Hawks,99,Box Score,,"18,729",2:19,Philips Arena,
7:30p,Portland Trail Blazers,100,New York Knicks,95,Box Score,,"19,763",2:34,Madison Square Garden (IV),
7:30p,Sacramento Kings,107,Cleveland Cavaliers,104,Box Score,,"20,562",2:16,Quicken Loans Arena,
8:00p,Philadelphia 76ers,86,Indiana Pacers,99,Box Score,,"18,165",2:10,Conseco Fieldhouse,
8:00p,Minnesota Timberwolves,89,Memphis Grizzlies,109,Box Score,,"12,753",2:19,FedEx Forum,
8:00p,Detroit Pistons,91,Chicago Bulls,101,Box Score,,"21,038",2:30,United Center,
8:30p,Denver Nuggets,107,Houston Rockets,94,Box Score,,"18,161",2:21,Toyota Center,
8:30p,Charlotte Bobcats,88,Milwaukee Bucks,98,Box Score,,"16,519",2:18,Bradley Center,
8:30p,New Orleans Hornets,99,San Antonio Spurs,90,Box Score,,"18,581",2:11,AT&T Center,
1:00p,Miami Heat,101,New Jersey Nets,78,Box Score,,"17,086",2:14,Prudential Center,
3:30p,Dallas Mavericks,99,Los Angeles Clippers,83,Box Score,,"13,718",2:22,STAPLES Center,
7:00p,Utah Jazz,120,Oklahoma City Thunder,99,Box Score,,"18,203",2:20,Chesapeake Energy Arena,
9:30p,Golden State Warriors,83,Los Angeles Lakers,107,Box Score,,"18,997",2:13,STAPLES Center,
12:00p,Boston Celtics,104,New York Knicks,106,Box Score,,"19,763",2:47,Madison Square Garden (IV),
2:30p,Miami Heat,105,Dallas Mavericks,94,Box Score,,"20,421",2:44,American Airlines Center,
5:00p,Chicago Bulls,88,Los Angeles Lakers,87,Box Score,,"18,997",2:34,STAPLES Center,
8:00p,Orlando Magic,89,Oklahoma City Thunder,97,Box Score,,"18,203",2:26,Chesapeake Energy Arena,
10:30p,Los Angeles Clippers,105,Golden State Warriors,86,Box Score,,"19,596",2:33,Oracle Arena,
7:00p,Toronto Raptors,104,Cleveland Cavaliers,96,Box Score,,"20,562",2:07,Quicken Loans Arena,
7:00p,New Jersey Nets,90,Washington Wizards,84,Box Score,,"17,102",2:19,Verizon Center,
7:00p,Houston Rockets,95,Orlando Magic,104,Box Score,,"18,846",2:04,Amway Center,
7:00p,Detroit Pistons,79,Indiana Pacers,91,Box Score,,"18,165",2:12,Bankers Life Fieldhouse,
7:00p,Milwaukee Bucks,95,Charlotte Bobcats,96,Box Score,,"17,173",2:19,Time Warner Cable Arena,
8:00p,Oklahoma City Thunder,104,Minnesota Timberwolves,100,Box Score,,"19,406",2:19,Target Center,
8:30p,Denver Nuggets,115,Dallas Mavericks,93,Box Score,,"20,408",2:13,American Airlines Center,
8:30p,Memphis Grizzlies,82,San Antonio Spurs,95,Box Score,,"18,581",2:15,AT&T Center,
9:00p,New Orleans Hornets,85,Phoenix Suns,84,Box Score,,"17,776",2:19,US Airways Center,
10:00p,Philadelphia 76ers,103,Portland Trail Blazers,107,Box Score,,"20,509",2:21,Rose Garden Arena,
10:00p,Los Angeles Lakers,91,Sacramento Kings,100,Box Score,,"17,317",2:19,Power Balance Pavilion,
10:30p,Chicago Bulls,91,Golden State Warriors,99,Box Score,,"19,596",2:18,Oracle Arena,
7:30p,Atlanta Hawks,106,New Jersey Nets,70,Box Score,,"18,711",2:06,Prudential Center,
8:00p,Boston Celtics,107,Miami Heat,115,Box Score,,"20,166",2:44,AmericanAirlines Arena,
8:30p,Minnesota Timberwolves,95,Milwaukee Bucks,98,Box Score,,"17,352",2:16,Bradley Center,
10:00p,Sacramento Kings,79,Portland Trail Blazers,101,Box Score,,"20,350",2:15,Rose Garden Arena,
10:30p,Utah Jazz,71,Los Angeles Lakers,96,Box Score,,"18,997",2:24,STAPLES Center,
6:00p,Indiana Pacers,90,Toronto Raptors,85,Box Score,,"19,800",2:17,Air Canada Centre,
7:00p,Miami Heat,96,Charlotte Bobcats,95,Box Score,,"19,614",2:16,Time Warner Cable Arena,
7:30p,Washington Wizards,83,Atlanta Hawks,101,Box Score,,"17,750",2:14,Philips Arena,
7:30p,Cleveland Cavaliers,105,Detroit Pistons,89,Box Score,,"22,076",2:21,The Palace of Auburn Hills,
8:00p,Boston Celtics,78,New Orleans Hornets,97,Box Score,,"17,802",2:17,New Orleans Arena,
