Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Tue, Jan 3, 2012",8:00p,Portland Trail Blazers,103,Oklahoma City Thunder,93,Box Score,,"18,203",2:18,Chesapeake Energy Arena,
"Tue, Jan 3, 2012",9:00p,Milwaukee Bucks,73,Utah Jazz,85,Box Score,,"17,756",2:07,EnergySolutions Arena,
"Tue, Jan 3, 2012",10:30p,Houston Rockets,99,Los Angeles Lakers,108,Box Score,,"18,997",2:08,STAPLES Center,
"Wed, Jan 4, 2012",7:00p,Washington Wizards,85,Orlando Magic,103,Box Score,,"18,846",2:05,Amway Center,
"Wed, Jan 4, 2012",7:00p,Cleveland Cavaliers,77,Toronto Raptors,92,Box Score,,"14,468",2:04,Air Canada Centre,
"Wed, Jan 4, 2012",7:30p,New Jersey Nets,70,Boston Celtics,89,Box Score,,"18,624",2:05,TD Garden,
"Wed, Jan 4, 2012",7:30p,Chicago Bulls,99,Detroit Pistons,83,Box Score,,"9,125",2:11,The Palace of Auburn Hills,
"Wed, Jan 4, 2012",7:30p,Indiana Pacers,83,Miami Heat,118,Box Score,,"20,201",2:22,AmericanAirlines Arena,
"Wed, Jan 4, 2012",7:30p,Charlotte Bobcats,118,New York Knicks,110,Box Score,,"19,763",2:14,Madison Square Garden (IV),
"Wed, Jan 4, 2012",8:00p,Memphis Grizzlies,90,Minnesota Timberwolves,86,Box Score,,"17,404",2:19,Target Center,
"Wed, Jan 4, 2012",8:00p,Philadelphia 76ers,101,New Orleans Hornets,93,Box Score,,"12,387",2:10,New Orleans Arena,
"Wed, Jan 4, 2012",8:30p,Phoenix Suns,89,Dallas Mavericks,98,Box Score,,"19,885",2:06,American Airlines Center,
"Wed, Jan 4, 2012",8:30p,Golden State Warriors,95,San Antonio Spurs,101,Box Score,,"16,751",2:05,AT&T Center,
"Wed, Jan 4, 2012",9:00p,Sacramento Kings,83,Denver Nuggets,110,Box Score,,"14,562",2:04,Pepsi Center,
"Wed, Jan 4, 2012",10:30p,Houston Rockets,89,Los Angeles Clippers,117,Box Score,,"19,060",2:09,STAPLES Center,
"Thu, Jan 5, 2012",8:00p,Miami Heat,116,Atlanta Hawks,109,Box Score,3OT,"18,371",3:34,Philips Arena,
"Thu, Jan 5, 2012",8:30p,Dallas Mavericks,71,San Antonio Spurs,93,Box Score,,"18,581",2:05,AT&T Center,
"Thu, Jan 5, 2012",10:00p,Milwaukee Bucks,100,Sacramento Kings,103,Box Score,,"11,813",2:16,Power Balance Pavilion,
"Thu, Jan 5, 2012",10:30p,Los Angeles Lakers,96,Portland Trail Blazers,107,Box Score,,"20,444",2:23,Rose Garden Arena,
"Fri, Jan 6, 2012",7:00p,Atlanta Hawks,102,Charlotte Bobcats,96,Box Score,OT,"17,827",2:26,Time Warner Cable Arena,
"Fri, Jan 6, 2012",7:00p,Detroit Pistons,73,Philadelphia 76ers,96,Box Score,,"19,408",2:05,Wells Fargo Center,
"Fri, Jan 6, 2012",7:00p,New Jersey Nets,97,Toronto Raptors,85,Box Score,,"16,771",2:20,Air Canada Centre,
"Fri, Jan 6, 2012",7:00p,New York Knicks,99,Washington Wizards,96,Box Score,,"16,998",2:10,Verizon Center,
"Fri, Jan 6, 2012",7:30p,Indiana Pacers,87,Boston Celtics,74,Box Score,,"18,624",2:10,TD Garden,
"Fri, Jan 6, 2012",8:00p,Cleveland Cavaliers,98,Minnesota Timberwolves,87,Box Score,,"16,943",2:11,Target Center,
"Fri, Jan 6, 2012",8:00p,Denver Nuggets,96,New Orleans Hornets,88,Box Score,,"13,035",2:05,New Orleans Arena,
"Fri, Jan 6, 2012",8:00p,Houston Rockets,94,Oklahoma City Thunder,109,Box Score,,"18,203",2:02,Chesapeake Energy Arena,
"Fri, Jan 6, 2012",8:00p,Chicago Bulls,97,Orlando Magic,83,Box Score,,"18,912",2:26,Amway Center,
"Fri, Jan 6, 2012",9:00p,Memphis Grizzlies,85,Utah Jazz,94,Box Score,,"19,503",2:14,EnergySolutions Arena,
"Fri, Jan 6, 2012",10:30p,Golden State Warriors,90,Los Angeles Lakers,97,Box Score,,"18,997",2:23,STAPLES Center,
"Fri, Jan 6, 2012",10:30p,Portland Trail Blazers,77,Phoenix Suns,102,Box Score,,"16,235",2:25,US Airways Center,
"Sat, Jan 7, 2012",7:00p,Chicago Bulls,94,Atlanta Hawks,109,Box Score,,"17,112",1:59,Philips Arena,
"Sat, Jan 7, 2012",7:00p,Charlotte Bobcats,77,Indiana Pacers,99,Box Score,,"17,226",2:11,Bankers Life Fieldhouse,
"Sat, Jan 7, 2012",7:30p,New York Knicks,103,Detroit Pistons,80,Box Score,,"12,044",2:10,The Palace of Auburn Hills,
"Sat, Jan 7, 2012",7:30p,Miami Heat,101,New Jersey Nets,90,Box Score,,"18,711",2:21,Prudential Center,
"Sat, Jan 7, 2012",8:00p,Oklahoma City Thunder,98,Houston Rockets,95,Box Score,,"14,327",2:11,Toyota Center,
"Sat, Jan 7, 2012",8:00p,Toronto Raptors,62,Philadelphia 76ers,97,Box Score,,"14,522",2:01,Wells Fargo Center,
"Sat, Jan 7, 2012",8:30p,Denver Nuggets,117,San Antonio Spurs,121,Box Score,,"17,537",2:17,AT&T Center,
"Sat, Jan 7, 2012",9:00p,New Orleans Hornets,81,Dallas Mavericks,96,Box Score,,"20,409",2:18,American Airlines Center,
"Sat, Jan 7, 2012",10:30p,Utah Jazz,88,Golden State Warriors,87,Box Score,,"19,596",2:14,Oracle Arena,
"Sat, Jan 7, 2012",10:30p,Milwaukee Bucks,86,Los Angeles Clippers,92,Box Score,,"19,229",2:26,STAPLES Center,
"Sun, Jan 8, 2012",1:00p,Minnesota Timberwolves,93,Washington Wizards,72,Box Score,,"13,095",2:03,Verizon Center,
"Sun, Jan 8, 2012",6:00p,Orlando Magic,104,Sacramento Kings,97,Box Score,,"14,150",2:21,Power Balance Pavilion,
"Sun, Jan 8, 2012",7:00p,San Antonio Spurs,96,Oklahoma City Thunder,108,Box Score,,"18,203",2:07,Chesapeake Energy Arena,
"Sun, Jan 8, 2012",8:00p,Milwaukee Bucks,93,Phoenix Suns,109,Box Score,,"13,420",1:58,US Airways Center,
"Sun, Jan 8, 2012",9:00p,Cleveland Cavaliers,78,Portland Trail Blazers,98,Box Score,,"20,292",2:08,Rose Garden Arena,
"Sun, Jan 8, 2012",9:30p,Memphis Grizzlies,82,Los Angeles Lakers,90,Box Score,,"18,997",2:03,STAPLES Center,
"Mon, Jan 9, 2012",7:00p,Indiana Pacers,86,Philadelphia 76ers,96,Box Score,,"8,612",2:10,Wells Fargo Center,
"Mon, Jan 9, 2012",7:00p,Minnesota Timberwolves,87,Toronto Raptors,97,Box Score,,"14,097",2:20,Air Canada Centre,
"Mon, Jan 9, 2012",7:30p,Atlanta Hawks,106,New Jersey Nets,101,Box Score,,"12,259",2:11,Prudential Center,
"Mon, Jan 9, 2012",7:30p,Charlotte Bobcats,87,New York Knicks,91,Box Score,,"19,763",2:20,Madison Square Garden (IV),
"Mon, Jan 9, 2012",8:00p,Detroit Pistons,68,Chicago Bulls,92,Box Score,,"21,530",2:08,United Center,
"Mon, Jan 9, 2012",9:00p,New Orleans Hornets,94,Denver Nuggets,81,Box Score,,"14,002",2:11,Pepsi Center,
"Tue, Jan 10, 2012",7:00p,Houston Rockets,82,Charlotte Bobcats,70,Box Score,,"13,421",2:02,Time Warner Cable Arena,
"Tue, Jan 10, 2012",7:00p,Sacramento Kings,85,Philadelphia 76ers,112,Box Score,,"10,255",2:02,Wells Fargo Center,
"Tue, Jan 10, 2012",7:00p,Toronto Raptors,78,Washington Wizards,93,Box Score,,"14,077",2:02,Verizon Center,
"Tue, Jan 10, 2012",7:30p,Dallas Mavericks,100,Detroit Pistons,86,Box Score,,"10,073",2:14,The Palace of Auburn Hills,
"Tue, Jan 10, 2012",8:00p,Oklahoma City Thunder,100,Memphis Grizzlies,95,Box Score,,"13,601",2:16,FedEx Forum,
"Tue, Jan 10, 2012",8:00p,San Antonio Spurs,103,Milwaukee Bucks,106,Box Score,,"11,585",1:59,Bradley Center,
"Tue, Jan 10, 2012",8:00p,Chicago Bulls,111,Minnesota Timberwolves,100,Box Score,,"19,356",2:11,Target Center,
"Tue, Jan 10, 2012",9:00p,Cleveland Cavaliers,105,Utah Jazz,113,Box Score,,"17,859",2:14,EnergySolutions Arena,
"Tue, Jan 10, 2012",10:00p,Los Angeles Clippers,97,Portland Trail Blazers,105,Box Score,,"20,381",2:29,Rose Garden Arena,
"Tue, Jan 10, 2012",10:30p,Miami Heat,106,Golden State Warriors,111,Box Score,OT,"19,596",2:47,Oracle Arena,
"Tue, Jan 10, 2012",10:30p,Phoenix Suns,83,Los Angeles Lakers,99,Box Score,,"18,997",2:11,STAPLES Center,
"Wed, Jan 11, 2012",7:00p,Atlanta Hawks,84,Indiana Pacers,96,Box Score,,"10,334",2:07,Bankers Life Fieldhouse,
"Wed, Jan 11, 2012",7:00p,Sacramento Kings,98,Toronto Raptors,91,Box Score,,"14,323",2:24,Air Canada Centre,
"Wed, Jan 11, 2012",7:30p,Philadelphia 76ers,79,New York Knicks,85,Box Score,,"19,763",2:18,Madison Square Garden (IV),
"Wed, Jan 11, 2012",8:00p,Dallas Mavericks,90,Boston Celtics,85,Box Score,,"18,624",2:31,TD Garden,
"Wed, Jan 11, 2012",8:00p,Washington Wizards,64,Chicago Bulls,78,Box Score,,"21,366",2:07,United Center,
"Wed, Jan 11, 2012",8:00p,Oklahoma City Thunder,95,New Orleans Hornets,85,Box Score,,"13,565",2:09,New Orleans Arena,
"Wed, Jan 11, 2012",8:30p,Houston Rockets,95,San Antonio Spurs,101,Box Score,OT,"17,381",2:18,AT&T Center,
"Wed, Jan 11, 2012",9:00p,New Jersey Nets,115,Denver Nuggets,123,Box Score,,"14,139",2:04,Pepsi Center,
"Wed, Jan 11, 2012",9:00p,Los Angeles Lakers,90,Utah Jazz,87,Box Score,OT,"19,642",2:24,EnergySolutions Arena,
"Wed, Jan 11, 2012",10:00p,Orlando Magic,107,Portland Trail Blazers,104,Box Score,,"20,467",2:12,Rose Garden Arena,
"Wed, Jan 11, 2012",10:30p,Miami Heat,89,Los Angeles Clippers,95,Box Score,OT,"19,341",3:00,STAPLES Center,
"Thu, Jan 12, 2012",7:30p,Charlotte Bobcats,81,Atlanta Hawks,111,Box Score,,"10,597",2:03,Philips Arena,
"Thu, Jan 12, 2012",8:00p,New York Knicks,83,Memphis Grizzlies,94,Box Score,,"15,324",2:15,FedEx Forum,
"Thu, Jan 12, 2012",8:00p,Detroit Pistons,93,Milwaukee Bucks,102,Box Score,,"11,465",2:18,Bradley Center,
"Thu, Jan 12, 2012",9:00p,Cleveland Cavaliers,101,Phoenix Suns,90,Box Score,,"14,636",2:11,US Airways Center,
"Thu, Jan 12, 2012",10:30p,Orlando Magic,117,Golden State Warriors,109,Box Score,,"17,754",2:38,Oracle Arena,
"Fri, Jan 13, 2012",7:00p,Detroit Pistons,98,Charlotte Bobcats,81,Box Score,,"18,043",2:01,Time Warner Cable Arena,
"Fri, Jan 13, 2012",7:00p,Washington Wizards,89,Philadelphia 76ers,120,Box Score,,"14,213",2:07,Wells Fargo Center,
"Fri, Jan 13, 2012",7:00p,Indiana Pacers,95,Toronto Raptors,90,Box Score,,"15,302",2:35,Air Canada Centre,
"Fri, Jan 13, 2012",8:00p,Chicago Bulls,88,Boston Celtics,79,Box Score,,"18,624",2:21,TD Garden,
"Fri, Jan 13, 2012",8:00p,Sacramento Kings,89,Houston Rockets,103,Box Score,,"12,870",2:01,Toyota Center,
"Fri, Jan 13, 2012",8:00p,Minnesota Timberwolves,87,New Orleans Hornets,80,Box Score,,"14,295",2:15,New Orleans Arena,
"Fri, Jan 13, 2012",8:30p,Milwaukee Bucks,76,Dallas Mavericks,102,Box Score,,"20,112",2:02,American Airlines Center,
"Fri, Jan 13, 2012",8:30p,Portland Trail Blazers,83,San Antonio Spurs,99,Box Score,,"18,581",2:07,AT&T Center,
"Fri, Jan 13, 2012",9:00p,New Jersey Nets,110,Phoenix Suns,103,Box Score,,"15,191",2:12,US Airways Center,
"Fri, Jan 13, 2012",10:30p,Miami Heat,104,Denver Nuggets,117,Box Score,,"19,155",2:28,Pepsi Center,
"Fri, Jan 13, 2012",10:30p,Cleveland Cavaliers,92,Los Angeles Lakers,97,Box Score,,"18,997",2:22,STAPLES Center,
"Sat, Jan 14, 2012",7:00p,Minnesota Timberwolves,91,Atlanta Hawks,93,Box Score,,"13,135",2:05,Philips Arena,
"Sat, Jan 14, 2012",7:00p,Golden State Warriors,100,Charlotte Bobcats,112,Box Score,,"16,122",2:16,Time Warner Cable Arena,
"Sat, Jan 14, 2012",7:00p,Boston Celtics,83,Indiana Pacers,97,Box Score,,"14,203",2:18,Bankers Life Fieldhouse,
"Sat, Jan 14, 2012",7:00p,Philadelphia 76ers,103,Washington Wizards,90,Box Score,,"13,998",2:08,Verizon Center,
"Sat, Jan 14, 2012",8:00p,Toronto Raptors,64,Chicago Bulls,77,Box Score,,"21,962",1:56,United Center,
"Sat, Jan 14, 2012",8:00p,Portland Trail Blazers,105,Houston Rockets,107,Box Score,OT,"11,676",2:34,Toyota Center,
"Sat, Jan 14, 2012",8:00p,New Orleans Hornets,99,Memphis Grizzlies,108,Box Score,,"14,983",2:19,FedEx Forum,
"Sat, Jan 14, 2012",8:00p,New York Knicks,92,Oklahoma City Thunder,104,Box Score,,"18,203",2:13,Chesapeake Energy Arena,
"Sat, Jan 14, 2012",9:00p,Sacramento Kings,60,Dallas Mavericks,99,Box Score,,"20,313",2:04,American Airlines Center,
"Sat, Jan 14, 2012",9:00p,New Jersey Nets,94,Utah Jazz,107,Box Score,,"19,557",2:09,EnergySolutions Arena,
"Sat, Jan 14, 2012",10:30p,Los Angeles Lakers,94,Los Angeles Clippers,102,Box Score,,"19,895",2:30,STAPLES Center,
"Sun, Jan 15, 2012",6:00p,Golden State Warriors,99,Detroit Pistons,91,Box Score,,"11,774",2:19,The Palace of Auburn Hills,
"Sun, Jan 15, 2012",8:00p,Utah Jazz,106,Denver Nuggets,96,Box Score,,"16,208",2:15,Pepsi Center,
"Sun, Jan 15, 2012",9:00p,Phoenix Suns,91,San Antonio Spurs,102,Box Score,,"18,581",2:16,AT&T Center,
"Mon, Jan 16, 2012",1:00p,Chicago Bulls,86,Memphis Grizzlies,102,Box Score,,"18,119",2:13,FedEx Forum,
"Mon, Jan 16, 2012",1:00p,Orlando Magic,102,New York Knicks,93,Box Score,,"19,763",2:25,Madison Square Garden (IV),
"Mon, Jan 16, 2012",2:00p,Cleveland Cavaliers,102,Charlotte Bobcats,94,Box Score,,"14,988",2:14,Time Warner Cable Arena,
"Mon, Jan 16, 2012",2:00p,Milwaukee Bucks,82,Philadelphia 76ers,94,Box Score,,"17,281",1:58,Wells Fargo Center,
"Mon, Jan 16, 2012",2:00p,Houston Rockets,114,Washington Wizards,106,Box Score,,"15,594",2:10,Verizon Center,
"Mon, Jan 16, 2012",3:00p,Portland Trail Blazers,84,New Orleans Hornets,77,Box Score,,"14,758",2:06,New Orleans Arena,
"Mon, Jan 16, 2012",3:30p,New Jersey Nets,91,Los Angeles Clippers,101,Box Score,,"19,060",2:32,STAPLES Center,
"Mon, Jan 16, 2012",4:00p,Toronto Raptors,84,Atlanta Hawks,93,Box Score,,"11,050",2:18,Philips Arena,
"Mon, Jan 16, 2012",8:00p,Oklahoma City Thunder,97,Boston Celtics,88,Box Score,,"18,624",2:23,TD Garden,
"Mon, Jan 16, 2012",8:00p,Sacramento Kings,86,Minnesota Timberwolves,99,Box Score,,"16,159",2:05,Target Center,
"Mon, Jan 16, 2012",10:30p,Dallas Mavericks,70,Los Angeles Lakers,73,Box Score,,"18,997",2:26,STAPLES Center,
"Tue, Jan 17, 2012",7:00p,Golden State Warriors,105,Cleveland Cavaliers,95,Box Score,,"13,056",2:10,Quicken Loans Arena,
"Tue, Jan 17, 2012",7:00p,Charlotte Bobcats,89,Orlando Magic,96,Box Score,,"18,846",2:15,Amway Center,
"Tue, Jan 17, 2012",7:30p,San Antonio Spurs,98,Miami Heat,120,Box Score,,"19,600",2:09,AmericanAirlines Arena,
"Tue, Jan 17, 2012",8:00p,Phoenix Suns,97,Chicago Bulls,118,Box Score,,"21,347",2:02,United Center,
"Tue, Jan 17, 2012",8:00p,Detroit Pistons,80,Houston Rockets,97,Box Score,,"9,318",2:03,Toyota Center,
"Tue, Jan 17, 2012",8:00p,Denver Nuggets,105,Milwaukee Bucks,95,Box Score,,"11,322",2:04,Bradley Center,
"Tue, Jan 17, 2012",9:00p,Los Angeles Clippers,79,Utah Jazz,108,Box Score,,"19,371",2:09,EnergySolutions Arena,
"Wed, Jan 18, 2012",7:00p,San Antonio Spurs,85,Orlando Magic,83,Box Score,OT,"18,846",2:40,Amway Center,
"Wed, Jan 18, 2012",7:00p,Denver Nuggets,108,Philadelphia 76ers,104,Box Score,OT,"15,201",2:25,Wells Fargo Center,
"Wed, Jan 18, 2012",7:00p,Oklahoma City Thunder,102,Washington Wizards,105,Box Score,,"15,075",2:22,Verizon Center,
"Wed, Jan 18, 2012",7:30p,Toronto Raptors,73,Boston Celtics,96,Box Score,,"18,624",2:14,TD Garden,
"Wed, Jan 18, 2012",7:30p,Golden State Warriors,100,New Jersey Nets,107,Box Score,,"12,570",2:14,Prudential Center,
"Wed, Jan 18, 2012",7:30p,Phoenix Suns,91,New York Knicks,88,Box Score,,"19,763",2:15,Madison Square Garden (IV),
"Wed, Jan 18, 2012",8:00p,Portland Trail Blazers,89,Atlanta Hawks,92,Box Score,,"13,729",2:25,Philips Arena,
"Wed, Jan 18, 2012",8:00p,Detroit Pistons,85,Minnesota Timberwolves,93,Box Score,,"15,598",2:18,Target Center,
"Wed, Jan 18, 2012",8:00p,Memphis Grizzlies,93,New Orleans Hornets,87,Box Score,,"12,045",2:12,New Orleans Arena,
"Wed, Jan 18, 2012",10:00p,Indiana Pacers,88,Sacramento Kings,92,Box Score,,"14,170",2:29,Power Balance Pavilion,
"Wed, Jan 18, 2012",10:30p,Dallas Mavericks,89,Los Angeles Clippers,91,Box Score,,"19,252",2:42,STAPLES Center,
"Thu, Jan 19, 2012",8:00p,New Orleans Hornets,88,Houston Rockets,90,Box Score,OT,"10,845",2:16,Toyota Center,
"Thu, Jan 19, 2012",8:00p,Los Angeles Lakers,87,Miami Heat,98,Box Score,,"20,004",2:19,AmericanAirlines Arena,
"Thu, Jan 19, 2012",10:30p,Dallas Mavericks,94,Utah Jazz,91,Box Score,,"19,911",2:22,EnergySolutions Arena,
"Fri, Jan 20, 2012",7:00p,Atlanta Hawks,76,Philadelphia 76ers,90,Box Score,,"17,724",1:55,Wells Fargo Center,
"Fri, Jan 20, 2012",7:00p,Portland Trail Blazers,94,Toronto Raptors,84,Box Score,,"17,537",2:21,Air Canada Centre,
"Fri, Jan 20, 2012",7:00p,Denver Nuggets,108,Washington Wizards,104,Box Score,,"14,866",2:11,Verizon Center,
"Fri, Jan 20, 2012",7:30p,Phoenix Suns,79,Boston Celtics,71,Box Score,,"18,624",2:09,TD Garden,
"Fri, Jan 20, 2012",7:30p,Chicago Bulls,114,Cleveland Cavaliers,75,Box Score,,"17,871",2:07,Quicken Loans Arena,
"Fri, Jan 20, 2012",7:30p,Memphis Grizzlies,98,Detroit Pistons,81,Box Score,,"10,255",2:09,The Palace of Auburn Hills,
"Fri, Jan 20, 2012",7:30p,Milwaukee Bucks,100,New York Knicks,86,Box Score,,"19,763",2:15,Madison Square Garden (IV),
"Fri, Jan 20, 2012",8:00p,Los Angeles Lakers,80,Orlando Magic,92,Box Score,,"18,846",2:23,Amway Center,
"Fri, Jan 20, 2012",8:30p,Sacramento Kings,88,San Antonio Spurs,86,Box Score,,"18,581",2:10,AT&T Center,
"Fri, Jan 20, 2012",10:30p,Indiana Pacers,94,Golden State Warriors,91,Box Score,,"17,621",2:06,Oracle Arena,
"Fri, Jan 20, 2012",10:30p,Minnesota Timberwolves,101,Los Angeles Clippers,98,Box Score,,"19,492",2:39,STAPLES Center,
"Sat, Jan 21, 2012",7:00p,Cleveland Cavaliers,94,Atlanta Hawks,121,Box Score,,"15,922",2:05,Philips Arena,
"Sat, Jan 21, 2012",7:30p,Portland Trail Blazers,91,Detroit Pistons,94,Box Score,,"14,456",2:24,The Palace of Auburn Hills,
"Sat, Jan 21, 2012",7:30p,Philadelphia 76ers,92,Miami Heat,113,Box Score,,"19,725",2:05,AmericanAirlines Arena,
"Sat, Jan 21, 2012",7:30p,Denver Nuggets,119,New York Knicks,114,Box Score,2OT,"19,763",3:04,Madison Square Garden (IV),
"Sat, Jan 21, 2012",8:00p,Charlotte Bobcats,89,Chicago Bulls,95,Box Score,,"21,861",2:03,United Center,
"Sat, Jan 21, 2012",8:00p,San Antonio Spurs,102,Houston Rockets,105,Box Score,,"15,285",2:08,Toyota Center,
"Sat, Jan 21, 2012",8:00p,Sacramento Kings,95,Memphis Grizzlies,128,Box Score,,"16,562",2:08,FedEx Forum,
"Sat, Jan 21, 2012",8:00p,Oklahoma City Thunder,84,New Jersey Nets,74,Box Score,,"15,201",2:10,Prudential Center,
"Sat, Jan 21, 2012",8:00p,Dallas Mavericks,83,New Orleans Hornets,81,Box Score,,"15,471",2:22,New Orleans Arena,
"Sat, Jan 21, 2012",9:00p,Minnesota Timberwolves,98,Utah Jazz,108,Box Score,,"19,911",2:02,EnergySolutions Arena,
"Sun, Jan 22, 2012",1:00p,Boston Celtics,100,Washington Wizards,94,Box Score,,"15,818",2:21,Verizon Center,
"Sun, Jan 22, 2012",3:30p,Toronto Raptors,91,Los Angeles Clippers,103,Box Score,,"19,060",2:23,STAPLES Center,
"Sun, Jan 22, 2012",6:00p,Milwaukee Bucks,91,Miami Heat,82,Box Score,,"19,600",2:22,AmericanAirlines Arena,
"Sun, Jan 22, 2012",6:00p,Charlotte Bobcats,87,New Jersey Nets,97,Box Score,,"10,035",2:01,Prudential Center,
"Sun, Jan 22, 2012",9:30p,Indiana Pacers,98,Los Angeles Lakers,96,Box Score,,"18,997",2:25,STAPLES Center,
"Mon, Jan 23, 2012",7:00p,Washington Wizards,83,Philadelphia 76ers,103,Box Score,,"10,108",2:02,Wells Fargo Center,
"Mon, Jan 23, 2012",7:30p,Orlando Magic,56,Boston Celtics,87,Box Score,,"18,624",2:22,TD Garden,
"Mon, Jan 23, 2012",8:00p,New Jersey Nets,95,Chicago Bulls,110,Box Score,,"21,572",2:08,United Center,
"Mon, Jan 23, 2012",8:00p,Atlanta Hawks,97,Milwaukee Bucks,92,Box Score,,"13,048",2:03,Bradley Center,
"Mon, Jan 23, 2012",8:00p,Houston Rockets,107,Minnesota Timberwolves,92,Box Score,,"16,924",2:09,Target Center,
"Mon, Jan 23, 2012",8:00p,San Antonio Spurs,104,New Orleans Hornets,102,Box Score,,"12,599",2:01,New Orleans Arena,
"Mon, Jan 23, 2012",8:00p,Detroit Pistons,79,Oklahoma City Thunder,99,Box Score,,"18,203",2:08,Chesapeake Energy Arena,
"Mon, Jan 23, 2012",8:30p,Phoenix Suns,87,Dallas Mavericks,93,Box Score,,"19,944",2:12,American Airlines Center,
"Mon, Jan 23, 2012",10:00p,Sacramento Kings,89,Portland Trail Blazers,101,Box Score,,"20,363",2:14,Rose Garden Arena,
"Mon, Jan 23, 2012",10:30p,Memphis Grizzlies,91,Golden State Warriors,90,Box Score,,"17,549",2:06,Oracle Arena,
"Tue, Jan 24, 2012",7:00p,New York Knicks,111,Charlotte Bobcats,78,Box Score,,"16,802",2:11,Time Warner Cable Arena,
"Tue, Jan 24, 2012",7:00p,Orlando Magic,102,Indiana Pacers,83,Box Score,,"12,760",2:11,Bankers Life Fieldhouse,
"Tue, Jan 24, 2012",7:30p,Cleveland Cavaliers,85,Miami Heat,92,Box Score,,"19,600",2:19,AmericanAirlines Arena,
"Tue, Jan 24, 2012",9:00p,Toronto Raptors,99,Phoenix Suns,96,Box Score,,"15,404",2:20,US Airways Center,
"Tue, Jan 24, 2012",10:00p,Memphis Grizzlies,84,Portland Trail Blazers,97,Box Score,,"20,602",2:13,Rose Garden Arena,
"Wed, Jan 25, 2012",7:00p,New York Knicks,81,Cleveland Cavaliers,91,Box Score,,"16,760",2:09,Quicken Loans Arena,
"Wed, Jan 25, 2012",7:00p,New Jersey Nets,97,Philadelphia 76ers,90,Box Score,OT,"13,138",2:34,Wells Fargo Center,
"Wed, Jan 25, 2012",7:00p,Charlotte Bobcats,75,Washington Wizards,92,Box Score,,"15,286",2:10,Verizon Center,
"Wed, Jan 25, 2012",7:30p,Miami Heat,101,Detroit Pistons,98,Box Score,,"18,058",2:29,The Palace of Auburn Hills,
"Wed, Jan 25, 2012",8:00p,Indiana Pacers,95,Chicago Bulls,90,Box Score,,"21,755",2:18,United Center,
"Wed, Jan 25, 2012",8:00p,Milwaukee Bucks,105,Houston Rockets,99,Box Score,,"10,573",2:07,Toyota Center,
"Wed, Jan 25, 2012",8:00p,New Orleans Hornets,91,Oklahoma City Thunder,101,Box Score,,"18,203",2:12,Chesapeake Energy Arena,
"Wed, Jan 25, 2012",8:30p,Minnesota Timberwolves,105,Dallas Mavericks,90,Box Score,,"20,150",2:04,American Airlines Center,
"Wed, Jan 25, 2012",8:30p,Atlanta Hawks,83,San Antonio Spurs,105,Box Score,,"17,888",2:00,AT&T Center,
"Wed, Jan 25, 2012",9:00p,Toronto Raptors,111,Utah Jazz,106,Box Score,2OT,"19,802",2:48,EnergySolutions Arena,
"Wed, Jan 25, 2012",10:00p,Denver Nuggets,122,Sacramento Kings,93,Box Score,,"12,097",2:08,Power Balance Pavilion,
"Wed, Jan 25, 2012",10:30p,Portland Trail Blazers,93,Golden State Warriors,101,Box Score,,"17,923",2:08,Oracle Arena,
"Wed, Jan 25, 2012",10:30p,Los Angeles Clippers,91,Los Angeles Lakers,96,Box Score,,"18,997",2:31,STAPLES Center,
"Thu, Jan 26, 2012",8:00p,Boston Celtics,91,Orlando Magic,83,Box Score,,"18,952",2:32,Amway Center,
"Thu, Jan 26, 2012",10:30p,Memphis Grizzlies,91,Los Angeles Clippers,98,Box Score,,"19,275",2:41,STAPLES Center,
"Fri, Jan 27, 2012",7:00p,Charlotte Bobcats,72,Philadelphia 76ers,89,Box Score,,"16,199",2:01,Wells Fargo Center,
"Fri, Jan 27, 2012",7:30p,Indiana Pacers,87,Boston Celtics,94,Box Score,,"18,624",2:19,TD Garden,
"Fri, Jan 27, 2012",7:30p,New Jersey Nets,99,Cleveland Cavaliers,96,Box Score,,"13,121",2:14,Quicken Loans Arena,
"Fri, Jan 27, 2012",7:30p,Atlanta Hawks,107,Detroit Pistons,101,Box Score,OT,"14,010",2:31,The Palace of Auburn Hills,
"Fri, Jan 27, 2012",8:00p,Milwaukee Bucks,100,Chicago Bulls,107,Box Score,,"22,368",2:18,United Center,
"Fri, Jan 27, 2012",8:00p,Washington Wizards,76,Houston Rockets,103,Box Score,,"13,894",2:12,Toyota Center,
"Fri, Jan 27, 2012",8:00p,New York Knicks,89,Miami Heat,99,Box Score,,"19,707",2:29,AmericanAirlines Arena,
"Fri, Jan 27, 2012",8:00p,San Antonio Spurs,79,Minnesota Timberwolves,87,Box Score,,"16,699",1:58,Target Center,
"Fri, Jan 27, 2012",8:00p,Orlando Magic,67,New Orleans Hornets,93,Box Score,,"16,176",2:06,New Orleans Arena,
"Fri, Jan 27, 2012",8:30p,Utah Jazz,101,Dallas Mavericks,116,Box Score,,"20,096",2:07,American Airlines Center,
"Fri, Jan 27, 2012",9:00p,Toronto Raptors,81,Denver Nuggets,96,Box Score,,"18,855",2:14,Pepsi Center,
