Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Mon, Nov 2, 2009",7:30p,New Orleans Hornets,111,New York Knicks,117,Box Score,,"19,763",2:18,Madison Square Garden (IV),
"Mon, Nov 2, 2009",9:00p,Houston Rockets,113,Utah Jazz,96,Box Score,,"19,911",2:14,EnergySolutions Arena,
"Mon, Nov 2, 2009",10:00p,Memphis Grizzlies,116,Sacramento Kings,127,Box Score,OT,"17,317",2:45,Power Balance Pavilion,
"Mon, Nov 2, 2009",10:30p,Minnesota Timberwolves,90,Los Angeles Clippers,93,Box Score,,"13,614",2:19,STAPLES Center,
"Tue, Nov 3, 2009",7:00p,Washington Wizards,90,Cleveland Cavaliers,102,Box Score,,"20,562",2:20,Quicken Loans Arena,
"Tue, Nov 3, 2009",7:00p,Denver Nuggets,111,Indiana Pacers,93,Box Score,,"10,627",2:16,Conseco Fieldhouse,
"Tue, Nov 3, 2009",7:00p,Boston Celtics,105,Philadelphia 76ers,74,Box Score,,"11,251",2:13,Wachovia Center,
"Tue, Nov 3, 2009",7:30p,Orlando Magic,80,Detroit Pistons,85,Box Score,,"15,487",2:23,The Palace of Auburn Hills,
"Tue, Nov 3, 2009",7:30p,Phoenix Suns,104,Miami Heat,96,Box Score,,"15,105",2:16,AmericanAirlines Arena,
"Tue, Nov 3, 2009",8:00p,Milwaukee Bucks,81,Chicago Bulls,83,Box Score,,"19,789",2:17,United Center,
"Tue, Nov 3, 2009",8:00p,Los Angeles Lakers,101,Oklahoma City Thunder,98,Box Score,OT,"18,203",2:36,Oklahoma City Arena,
"Tue, Nov 3, 2009",8:30p,Utah Jazz,85,Dallas Mavericks,96,Box Score,,"19,725",2:12,American Airlines Center,
"Tue, Nov 3, 2009",10:00p,Atlanta Hawks,97,Portland Trail Blazers,91,Box Score,,"20,325",2:11,Rose Garden Arena,
"Wed, Nov 4, 2009",7:00p,Phoenix Suns,100,Orlando Magic,122,Box Score,,"17,461",2:13,Amway Arena,
"Wed, Nov 4, 2009",7:00p,Detroit Pistons,99,Toronto Raptors,110,Box Score,,"17,915",2:23,Air Canada Centre,
"Wed, Nov 4, 2009",7:00p,Miami Heat,93,Washington Wizards,89,Box Score,,"17,413",2:34,Verizon Center,
"Wed, Nov 4, 2009",7:30p,Denver Nuggets,122,New Jersey Nets,94,Box Score,,"15,319",2:12,Izod Center,
"Wed, Nov 4, 2009",7:30p,Indiana Pacers,101,New York Knicks,89,Box Score,,"19,273",2:15,Madison Square Garden (IV),
"Wed, Nov 4, 2009",8:00p,Boston Celtics,92,Minnesota Timberwolves,90,Box Score,,"19,133",2:17,Target Center,
"Wed, Nov 4, 2009",8:30p,Los Angeles Lakers,103,Houston Rockets,102,Box Score,OT,"18,291",2:46,Toyota Center,
"Wed, Nov 4, 2009",9:30p,Dallas Mavericks,107,New Orleans Hornets,114,Box Score,OT,"13,566",2:43,New Orleans Arena,
"Wed, Nov 4, 2009",10:00p,Atlanta Hawks,113,Sacramento Kings,105,Box Score,,"11,751",2:11,Power Balance Pavilion,
"Wed, Nov 4, 2009",10:30p,Memphis Grizzlies,105,Golden State Warriors,113,Box Score,,"17,457",2:15,Oracle Arena,
"Thu, Nov 5, 2009",8:00p,Chicago Bulls,86,Cleveland Cavaliers,85,Box Score,,"20,562",2:32,Quicken Loans Arena,
"Thu, Nov 5, 2009",10:30p,San Antonio Spurs,99,Utah Jazz,113,Box Score,,"19,797",2:30,EnergySolutions Arena,
"Fri, Nov 6, 2009",7:00p,Atlanta Hawks,83,Charlotte Bobcats,103,Box Score,,"15,874",2:13,Time Warner Cable Arena,
"Fri, Nov 6, 2009",7:00p,Washington Wizards,86,Indiana Pacers,102,Box Score,,"14,556",2:12,Conseco Fieldhouse,
"Fri, Nov 6, 2009",7:00p,Detroit Pistons,103,Orlando Magic,110,Box Score,,"17,461",2:39,Amway Arena,
"Fri, Nov 6, 2009",7:00p,New Jersey Nets,94,Philadelphia 76ers,97,Box Score,,"10,054",2:22,Wachovia Center,
"Fri, Nov 6, 2009",7:30p,Phoenix Suns,110,Boston Celtics,103,Box Score,,"18,624",2:20,TD Garden,
"Fri, Nov 6, 2009",7:30p,Denver Nuggets,88,Miami Heat,96,Box Score,,"19,600",2:17,AmericanAirlines Arena,
"Fri, Nov 6, 2009",8:00p,Milwaukee Bucks,87,Minnesota Timberwolves,72,Box Score,,"13,758",2:06,Target Center,
